"ID","Date","UTC","Age","Callsign","SNR (db)","Mode","Band","QRG (MHz)","Country","DXCC","Locator","QRB (km)"
"18","2022-04-08","17:15:29","3min","UI6L","-7","FT8","20m","14.0751","Russia-EU","UA","KN97WG45","4451"
"213","2022-04-08","16:49:29","29min","UI4F","-18","FT8","20m","14.0751","Russia-EU","UA","LO21TQ","4447"
"385","2022-04-08","13:20:15","3h:58m","5B4CY","-15","FT8","20m","14.0750","Cyprus","5B","KM65LC","4432"
"377","2022-04-08","13:46:30","3h:32m","R4CGK","-18","FT8","20m","14.0751","Russia-EU","UA","LO21WL","4418"
"4","2022-04-08","17:17:29","1min","UB6D","-16","FT8","20m","14.0751","Russia-EU","UA","KN95LO38","4410"
"274","2022-04-08","16:34:29","44min","R8CFK","-19","FT8","20m","14.0750","Russia-EU","UA","MO07RA","4410"
"84","2022-04-08","17:05:27","13min","5B4AMM","-13","FT8","20m","14.0751","Cyprus","5B","KM65OA","4408"
"363","2022-04-08","14:07:29","3h:11m","YC7BYH","-14","FT8","20m","14.0750","Indonesia","YB","OI49SW","4405"
"399","2022-04-08","12:25:30","4h:53m","UA9CAN","-12","FT8","20m","14.0751","Russia-EU","UA","MO06HT","4405"
"407","2022-04-08","11:51:29","5h:27m","9M8DEN","-18","FT8","20m","14.0751","East Malaysia","9M6","OJ51EM","4401"
"289","2022-04-08","16:28:31","50min","R6DRG","-14","FT8","20m","14.0751","Russia-EU","UA","KN96VC","4385"
"370","2022-04-08","13:56:29","3h:22m","UA6BDJ","-10","FT8","20m","14.0750","Russia-EU","UA","KN95QJ","4370"
"394","2022-04-08","12:34:27","4h:44m","5B4ANV","-16","FT8","20m","14.0751","Cyprus","5B","KM64UX","4362"
"326","2022-04-08","16:16:29","1h:02m","RK6DV","-14","FT8","20m","14.0751","Russia-EU","UA","KN95OB","4361"
"365","2022-04-08","14:06:15","3h:12m","5B4AMO","-22","FT8","20m","14.0750","Cyprus","5B","KM65WB","4350"
"419","2022-04-08","10:46:31","6h:32m","R6DJR","-18","FT8","20m","14.0751","Russia-EU","UA","KN94KG30","4339"
"387","2022-04-08","13:19:29","3h:59m","UA9HO","-16","FT8","20m","14.0750","Russia-AS","UA9","NO26ML14","4326"
"100","2022-04-08","17:03:30","15min","R9WXK","-18","FT8","20m","14.0750","Russia-EU","UA","LO84AS","4313"
"418","2022-04-08","10:49:33","6h:29m","YCØUCS","-16","FT8","20m","14.0750","Indonesia","YB","OI33","4294"
"390","2022-04-08","13:16:29","4h:02m","RN6LBT","-17","FT8","20m","14.0751","Russia-EU","UA","LN17HJ","4291"
"358","2022-04-08","14:19:30","2h:59m","UC8U","-15","FT8","20m","14.0750","Russia-AS","UA9","NO35FP","4265"
"384","2022-04-08","13:22:32","3h:56m","R9AAA","-20","FT8","20m","14.0750","Russia-EU","UA","MO05PE","4220"
